Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,reviewed_by
practical_salinity,D00002,2015-07-08T20:37:13Z,2015-09-28T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
temperature,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
oxygen,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
ctd_tc_oxygen,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
seawater_pressure,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = 0.0 global_max = 6000.0,friedrich
seawater_pressure,D00002,2015-07-08T20:37:13Z,2015-09-28T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_pressure,D00002,2015-07-08T20:37:13Z,2015-09-28T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = 0.0 global_max = 6.0,friedrich
seawater_conductivity,D00002,2015-07-08T20:37:13Z,2015-09-28T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2015-07-08T20:37:13Z,2015-09-28T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
oxy_temp,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
seawater_temperature,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = -2.0 global_max = 40.0,friedrich
seawater_temperature,D00002,2015-07-08T20:37:13Z,2015-09-28T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_temperature,D00002,2015-07-08T20:37:13Z,2015-09-28T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
pressure,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
pressure_temp,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
ctd_abs_oxygen,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = 0.0 global_max = 400.0,friedrich
ctd_abs_oxygen,D00002,2015-07-08T20:37:13Z,2015-09-28T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
ctd_abs_oxygen,D00002,2015-07-08T20:37:13Z,2015-09-28T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_density,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,friedrich
seawater_density,D00002,2015-07-08T20:37:13Z,2015-09-28T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_density,D00002,2015-07-08T20:37:13Z,2015-09-28T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
conductivity,D00002,2015-07-08T20:37:13Z,2016-07-16T20:18:09Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
practical_salinity,D00002,2015-09-29T00:00:00Z,2015-12-17T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
practical_salinity,D00002,2015-09-29T00:00:00Z,2015-12-17T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_pressure,D00002,2015-09-29T00:00:00Z,2015-12-17T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2015-09-29T00:00:00Z,2015-12-17T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2015-09-29T00:00:00Z,2015-12-17T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_temperature,D00002,2015-09-29T00:00:00Z,2015-12-17T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
